Transaction_ID,Date,Customer_ID,Gender,Age,Age_Group,Product_Category,Product_Name,Quantity,Price_Per_Unit,Total_Amount,Discount_Rate,Discount_Amount,Net_Amount,Cost_Of_Goods,Profit,Profit_Margin_Pct,Payment_Method
TXN-10139,2023-01-01,CUST-1548,Other,43,36-50 (Middle-Aged),Electronics,Portable Bluetooth Speaker,3,56.77,170.31,0.15,25.55,144.76,111.55,33.21,22.94,Credit Card
TXN-10267,2023-01-02,CUST-1510,Female,41,36-50 (Middle-Aged),Home & Kitchen,Stainless Steel Water Bottle,1,20.54,20.54,0.15,3.08,17.46,11.82,5.64,32.3,Credit Card
TXN-10476,2023-01-04,CUST-1137,Female,33,25-35 (Young Adults),Clothing,Slim-Fit Denim Jeans,2,46.9,93.8,0.1,9.38,84.42,51.69,32.73,38.77,Debit Card
TXN-11538,2023-01-04,CUST-1000,Female,44,36-50 (Middle-Aged),Books & Stationery,Executive Hardcover Notebook,1,15.53,15.53,0.05,0.78,14.75,9.7,5.05,34.24,Debit Card
TXN-11830,2023-01-04,CUST-1118,Male,53,51+ (Seniors),Home & Kitchen,Air Fryer Digital Oven,1,112.83,112.83,0.0,0.0,112.83,63.9,48.93,43.37,Debit Card
TXN-10289,2023-01-05,CUST-1531,Male,18,18-24 (Youth),Electronics,Wireless Bluetooth Earbuds,5,76.17,380.85,0.05,19.04,361.81,250.3,111.51,30.82,Credit Card
TXN-10977,2023-01-06,CUST-1306,Female,55,51+ (Seniors),Electronics,Smart Fitness Watch,2,121.55,243.1,0.0,0.0,243.1,152.62,90.48,37.22,UPI / Digital Wallet
TXN-10296,2023-01-06,CUST-1287,Female,46,36-50 (Middle-Aged),Clothing,Classic Cotton Crewneck T-Shirt,1,22.03,22.03,0.05,1.1,20.93,13.19,7.74,36.98,Credit Card
TXN-10380,2023-01-07,CUST-1154,Female,42,36-50 (Middle-Aged),Beauty & Personal Care,Organic Botanical Shampoo,2,23.15,46.3,0.2,9.26,37.04,30.21,6.83,18.44,Credit Card
TXN-10122,2023-01-07,CUST-1195,Male,43,36-50 (Middle-Aged),Electronics,4K Ultra HD Smart TV,1,639.98,639.98,0.0,0.0,639.98,413.99,225.99,35.31,Debit Card
TXN-11240,2023-01-07,CUST-1187,Female,36,36-50 (Middle-Aged),Books & Stationery,Artisan Sketching Pencil Kit,3,19.35,58.05,0.1,5.8,52.25,35.46,16.79,32.13,Credit Card
